Longitud,Latitud,Grupo
-113.3703509,28.86120971,2.1
-113.3688145,28.8498606,2.1
-113.3705214,28.83623465,2.1
-113.3632202,28.82173163,2.1
-113.3513599,28.8167022,2.1
-113.3571024,28.81230497,2.1
-113.3547094,28.80439042,2.1
-113.347087,28.79967372,2.1
-113.3344711,28.79935006,2.1
-113.3160251,28.80203695,2.1
-113.3073562,28.80815598,2.1
-113.2948123,28.81357995,2.1
-113.2946624,28.8179446,2.1
-113.2857327,28.81942355,2.1
-113.2859723,28.82429935,2.1
-113.2771874,28.83042094,2.1
-113.2710236,28.83060297,2.1
-113.2602053,28.83908066,2.1
-113.2535589,28.83954326,2.1
-113.2417197,28.83376757,2.1
-113.2335731,28.83536403,2.1
-113.2307591,28.82818088,2.1
-113.2206452,28.82479783,2.1
-113.2157123,28.81881358,2.1
-113.2108268,28.80156506,2.1
-113.1996132,28.7964928,2.1
-113.1964361,28.79228603,2.1
-113.1986398,28.781986,2.1
-113.1939246,28.77386385,2.1
-113.1920784,28.76511395,2.1
-113.1942088,28.74481951,2.1
-113.1864636,28.72873142,2.1
-113.1809888,28.71417062,2.1
-113.1751869,28.71238983,2.1
-113.1762056,28.70410278,2.1
-113.1691338,28.69215263,2.1
-113.1688076,28.68517017,2.1
-113.1587959,28.66007386,2.1
-113.1509652,28.65192166,2.1
-113.1339073,28.64181038,2.1
-113.1278322,28.62882865,2.1
-113.1309657,28.61074191,2.1
-113.1302978,28.59939283,2.1
-113.1272519,28.58890058,2.1
